id,first_name,last_name,position,affiliation,page_type,url
88,In Song,Kim,,,HOME,https://web.mit.edu/insong/www/
88,In Song,Kim,,,RES,https://web.mit.edu/insong/www/research/research.html
120,Nobuhiro,Kiyotaki,,,HOME,https://www.princeton.edu/~kiyotaki/
93,Heike,Klüver,,,HOME,https://heike-kluever.com/
93,Heike,Klüver,,,PUB,https://heike-kluever.com/publications/
93,Heike,Klüver,,,WP,https://heike-kluever.com/workingpapers/
70,S.,Kohl,,,HOME,https://www.sebastiankohl.com/
70,S.,Kohl,,,PUB,https://www.sebastiankohl.com/publications
70,S.,Kohl,,,RES,https://www.sebastiankohl.com/research-project
163,Johannes,König,,,HOME,https://sites.google.com/view/johanneskoenig/home
163,Johannes,König,,,RES,https://sites.google.com/view/johanneskoenig/research
131,John,Leahy,,,RES,https://sites.google.com/umich.edu/johnleahy/home/research
117,Simone,Lenzu,,,HOME,https://pages.stern.nyu.edu/~slenzu/
90,Jieun,Lee,,,HOME,https://www.lee-jieun.com/
90,Jieun,Lee,,,RES,https://www.lee-jieun.com/research
,Pinjas,Albagli,PhD,London School of Economics,HOME,https://palbagli.github.io/
,Ignacio,Banares Sanchez,PhD,London School of Economics,HOME,https://ignaciobanares.com/
,Lisa,Beihy Pacheco,PhD,London School of Economics,HOME,https://lisabeihypacheco.github.io/
,Shania,Bhalotia,PhD,London School of Economics,HOME,https://www.shaniabhalotia.com/
,Adrien,Couturier,PhD,London School of Economics,HOME,https://adriencouturier.com/
,Zhiyao,Deng,PhD,London School of Economics,HOME,https://sites.google.com/view/zhiyaodeng/home
,Sitong,Ding,PhD,London School of Economics,HOME,https://www.sitongding.com/
,Miguel,Fajardo Steinhäuser,PhD,London School of Economics,HOME,https://sites.google.com/view/mfajardo-steinhauser/home
,Marta,Guasch Rusiñol,PhD,London School of Economics,HOME,https://sites.google.com/view/martaguasch-rusinol/
,Nilmini,Herath,PhD,London School of Economics,HOME,https://nilminiherath.com/
,Stephan,Hobler,PhD,London School of Economics,HOME,https://sjhobler.github.io/
,Amen,Jalal,PhD,London School of Economics,HOME,https://amenjalal.com/
,Ananya,Kotia,PhD,London School of Economics,HOME,https://ananyakotia.com/
,Johannes,Matt,PhD,London School of Economics,HOME,https://www.johannesmatt.com/
,Roberto-Rafael,Maura-Rivero,PhD,London School of Economics,HOME,https://sites.google.com/view/rrmaura/home
,Tatiana,Pazem,PhD,London School of Economics,HOME,https://sites.google.com/view/tatianapazem/home
