researcher_id,first_name,last_name,db_affiliation,repec_name,repec_workplace,repec_homepage,repec_handle,match_type,confidence
899,Michael,Weber,,Michael Weber,ifo Institut - Leibniz-Institut für Wirtschaftsforschung an der Universität München e.V.,https://www.cesifo-group.de/de/ifoHome/CESifo-Group/ifoDresden/ifo-ND-Mitarbeiter/cvifod-w,REPEC:per:2011-06-07:michael_kloss,exact_name,ambiguous
899,Michael,Weber,,Michael Weber,Purdue University,https://faculty.chicagobooth.edu/michael-weber,REPEC:per:2014-10-27:michael_weber,exact_name,ambiguous
1036,Ha,Nguyen,,Ha Trong Nguyen,Telethon Kids Institute,https://sites.google.com/view/nguyen-ha,REPEC:per:2010-09-12:ha_trong_nguyen,exact_name,ambiguous
1036,Ha,Nguyen,,Ha Diep Nguyen,Indiana University,http://sites.google.com/view/hadnguyen,REPEC:per:2019-01-09:ha_diep_nguyen,exact_name,ambiguous
1036,Ha,Nguyen,,Ha Nguyen,International Monetary Fund (IMF),https://sites.google.com/view/hanguyenecon/,REPEC:per:2008-08-26:ha_minh_nguyen,exact_name,ambiguous
1036,Ha,Nguyen,,Ha M. Nguyen,Université du Luxembourg,https://sites.google.com/site/nguyenhm1976,REPEC:per:2013-02-15:ha_m_nguyen,exact_name,ambiguous
1165,Michael,Best,,Michael Carlos Best,Columbia University,http://www.columbia.edu/~mcb2270/,REPEC:per:1983-02-15:michael_best,exact_name,ambiguous
1165,Michael,Best,,Michael H. Best,University of Massachusetts-Lowell,http://www.michaelhbest.com,REPEC:per:1941-08-29:michael_h_best,exact_name,ambiguous
1250,Benjamin,Jones,,Benjamin A. Jones,University of New Mexico,http://bajones2.weebly.com,REPEC:per:2015-04-15:benjamin_a_jones,exact_name,ambiguous
1250,Benjamin,Jones,,Benjamin F. Jones,National Bureau of Economic Research (NBER),https://www.kellogg.northwestern.edu/faculty/jones-ben/htm/research.htm,REPEC:per:2019-07-08:benjamin_f_jones,exact_name,ambiguous
1359,Daniel,Martin,,Daniel E. Martin,California State University-East Bay,http://www20.csueastbay.edu/directory/profiles/mgmt/martindaniel.html,REPEC:per:2011-03-14:daniel_e_martin,exact_name,ambiguous
1359,Daniel,Martin,,Daniel Martin,Northwestern University,http://www.martinonline.org/daniel,REPEC:per:2011-08-29:daniel_martin,exact_name,ambiguous
1575,Yang,Wang,,Yang Wang,University of California-San Diego (UCSD),https://sites.google.com/site/wangy408/,REPEC:per:1990-02-07:yang_wang,exact_name,ambiguous
1575,Yang,Wang,,Yang Wang,University of Texas-El Paso,http://yangwangresearch.com,REPEC:per:2018-09-26:yang_wang,exact_name,ambiguous
1764,Benjamin,Marx,,Benjamin M. Marx,University of Illinois at Urbana-Champaign,https://sites.google.com/site/benjaminmmarx/,REPEC:per:2007-12-29:ben_michael_marx,exact_name,ambiguous
1764,Benjamin,Marx,,Benjamin Marx,Boston University,https://sites.google.com/view/bmarx,REPEC:per:2019-01-08:benjamin_marx,exact_name,ambiguous
2137,Martin,Schmitz,,Martin B. Schmitz,Vanderbilt University,https://www.martinbschmitz.com/,REPEC:per:2022-08-05:martin_b_schmitz,exact_name,ambiguous
2137,Martin,Schmitz,,Martin Schmitz,European Central Bank,http://www.martinschmitz.org,REPEC:per:2007-05-01:martin_schmitz,exact_name,ambiguous
2284,Yan,Chen,,Yan Chen,University of Michigan,http://yanchen.people.si.umich.edu/,REPEC:per:2015-03-17:yan_chen,exact_name,ambiguous
2284,Yan,Chen,,Yan Chen,Shandong University,https://faculty.sdu.edu.cn/chenyan5/zh_CN/index.htm,REPEC:per:1983-09-08:Yan_Chen,exact_name,ambiguous
2445,David,Levine,,David Levine,University of California-Berkeley,http://faculty.haas.berkeley.edu/levine/,REPEC:per:1960-10-30:david_levine,exact_name,ambiguous
2445,David,Levine,,David Levine,Federal Reserve Bank of St. Louis,http://www.dklevine.com,REPEC:per:1955-08-09:david_levine,exact_name,ambiguous
2482,Jing,Zhang,,Jing Zhang,University of Nottingham,https://www.nottingham.ac.uk/business/people/lizjz.html,REPEC:per:2013-08-24:jing_zhang,exact_name,ambiguous
2482,Jing,Zhang,,Jing Zhang,Federal Reserve Bank of Chicago,https://sites.google.com/site/jzhangzn/,REPEC:per:2006-06-18:jing_zhang,exact_name,ambiguous
3405,Ana,Fernandes,,Ana Margarida Fernandes,World Bank Group,https://www.worldbank.org/en/about/people/a/ana-margarida-fernandes,REPEC:per:1973-03-12:ana_margarida_fernandes,exact_name,ambiguous
3405,Ana,Fernandes,,Ana Fernandes,Oxford University,http://anafernandes.name,REPEC:per:2005-02-24:ana_fernandes,exact_name,ambiguous
3507,Yu,Liu,,Yu Liu,Fudan University,https://sites.google.com/site/yuliu2014/home,REPEC:per:2012-07-29:yu_liu,exact_name,ambiguous
3507,Yu,Liu,,YU LIU,,https://www.ues.pku.edu.cn/jszy/ly2/grjlly/822e8c1c07c74bbfa04f6d0fa7fbd025.htm,REPEC:per:1977-08-17:yu_liu,exact_name,ambiguous
4092,James,Anderson,,James Horton Anderson,World Bank Group,http://www.worldbank.org/en/about/people/j/james-anderson,REPEC:per:1965-02-07:james_horton_anderson,exact_name,ambiguous
4092,James,Anderson,,James L. Anderson,University of Florida,https://fred.ifas.ufl.edu/about/directory/james-anderson/,REPEC:per:2009-06-20:james_l_anderson,exact_name,ambiguous
4092,James,Anderson,,James Anderson,National Bureau of Economic Research (NBER),https://sites.bc.edu/james-anderson/,REPEC:per:1943-03-06:james_anderson,exact_name,ambiguous
4093,Michael,Moore,,Michael Owen Moore,George Washington University,http://home.gwu.edu/~mom,REPEC:per:2006-07-28:michael_owen_moore,exact_name,ambiguous
4093,Michael,Moore,,Michael John Moore,University of Warwick,https://www.wbs.ac.uk/about/person/michael-moore,REPEC:per:1953-10-20:michael_john_moore,exact_name,ambiguous
5081,Francesco,Ferrante,,Francesco Ferrante,Federal Reserve Board (Board of Governors of the Federal Reserve System),https://sites.google.com/site/franferrante/,REPEC:per:2015-03-08:francesco_ferrante,exact_name,ambiguous
5081,Francesco,Ferrante,,FRANCESCO M. FERRANTE,Università degli Studi di Cassino e del Lazio Meridionale,http://www.eco.unicas.it/docente/ferrante,REPEC:per:2007-02-11:francesco_m_ferrante,exact_name,ambiguous
6498,Jie,Zhang,,Jie  Zhang,Chongqing Technology and Business University,https://ets2014.ctbu.edu.cn/info/1196/13760.htm,REPEC:per:1991-03-30:Jie_Zhang,exact_name,ambiguous
6498,Jie,Zhang,,Jie Zhang,Auburn University,https://kangsky.github.io/jiezhang/education/,REPEC:per:2019-09-12:jie_zhang,exact_name,ambiguous
6763,Wei,Xiao,,Wei Xiao,State University of New York-Binghamton (SUNY),http://bingweb.binghamton.edu/~wxiao,REPEC:per:1971-03-27:wei_xiao,exact_name,ambiguous
6763,Wei,Xiao,,Wei Xiao,Southwestern University of Finance and Economics (SWUFE),https://www.researchgate.net/profile/Wei_Xiao47,REPEC:per:2015-03-13:wei_xiao,exact_name,ambiguous
7166,Filippo,Massari,,Filippo Massari,Alma Mater Studiorum - Università di Bologna,https://sites.google.com/view/filippomassari/home,REPEC:per:1982-05-26:filippo_massari,exact_name,ambiguous
7166,Filippo,Massari,,Filippo Massari,Fairfield University,https://www.filippomassari.com/,REPEC:per:1992-06-06:Filippo_Massari,exact_name,ambiguous
7222,David,Miller,,David A. Miller,University of Michigan,http://www-personal.umich.edu/~econdm,REPEC:per:1973-01-24:david_a_miller,exact_name,ambiguous
7222,David,Miller,,David S. Miller,Federal Reserve Board (Board of Governors of the Federal Reserve System),https://sites.google.com/site/davidsmillereconomics/,REPEC:per:2013-12-04:david_s_miller,exact_name,ambiguous
