researcher_id,first_name,last_name,db_affiliation,repec_name,repec_workplace,repec_homepage,repec_handle,match_type,confidence
1,Max Friedrich,Steinhardt,Freie Universität Berlin,Max Friedrich Steinhardt,"Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD)",https://sites.google.com/site/maxfriedrichsteinhardt/home,REPEC:per:2009-02-04:max_steinhardt,url_match,unique
6,Mattis,Beckmannshagen,DIW Berlin,Mattis Beckmannshagen,Berlin School of Economics,https://www.mbeckmannshagen.com/,REPEC:per:2025-11-04:Mattis_Beckmannshagen,url_match,unique
7,Magne,Mogstad,University of Chicago,Magne Mogstad,University of Chicago,https://sites.google.com/site/magnemogstad/,REPEC:per:2010-07-26:magne_mogstad,url_match,unique
11,Edwin,Leuven,University of Oslo,Edwin Leuven,Universitetet i Oslo,http://leuven.economists.nl,REPEC:per:1970-08-08:edwin_leuven,url_match,unique
15,Willi,Mutschler,University of Tübingen,Willi Mutschler,Eberhard-Karls-Universität Tübingen,https://mutschler.eu,REPEC:per:2014-06-29:willi_mutschler,url_match,unique
16,Moritz,Schularick,Kiel Institute for the World Economy / Sciences Po,Moritz Schularick,Sciences Po,https://www.moritzschularick.com/,REPEC:per:2005-01-21:moritz_schularick,url_match,unique
18,Thomas,Chaney,University of Southern California,Thomas Chaney,University of Southern California,https://sites.google.com/site/thomaschaney/,REPEC:per:2007-03-02:thomas_chaney,url_match,unique
21,Tarek A.,Hassan,Boston University,Tarek Alexander Hassan,Centre for Economic Policy Research (CEPR),https://sites.google.com/site/tarekalexanderhassan/papers,REPEC:per:1978-12-04:tarek_alexander_hassan,url_match,unique
24,Gordon B.,Dahl,UC San Diego,Gordon B. Dahl,Centre for Economic Policy Research (CEPR),https://econweb.ucsd.edu/~gdahl/,REPEC:per:2011-04-24:gordon_b_dahl,url_match,unique
27,Shengwu,Li,Harvard University,Shengwu Li,Harvard University,http://www.shengwu.li,REPEC:per:1985-01-04:shengwu_li,url_match,unique
35,Nathan,Nunn,University of British Columbia,Nathan  Nunn,University of British Columbia,https://nathannunn.arts.ubc.ca,REPEC:per:2006-01-16:nathan_nunn,url_match,unique
38,Johannes,Hörner,Yale University,Johannes Hörner,Toulouse School of Economics (TSE),https://sites.google.com/site/jo4horner/,REPEC:per:2017-07-25:johannes_hoerner,url_match,unique
40,Fiona,Burlig,University of Chicago,Fiona Burlig,National Bureau of Economic Research (NBER),http://www.fionaburlig.com,REPEC:per:2016-04-26:fiona_burlig,url_match,unique
47,Simon,Voss,Freie Universität Berlin,Simon Voss,Freie Universität Berlin,https://sites.google.com/view/simonvoss/home,REPEC:per:1993-09-14:Simon_Voss,url_match,unique
50,Natalia,Danzer,,Natalia Danzer (née Weißhaar),"Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD)",https://www.wiwiss.fu-berlin.de/fachbereich/vwl/danzer,REPEC:per:2007-02-10:natalia_weisshaar,url_match,unique
53,Giovanni,Facchini,,Giovanni Facchini,Centre for Economic Policy Research (CEPR),https://giovannifacchini.wixsite.com/scientist-site,REPEC:per:1971-02-02:giovanni_facchini,url_match,unique
56,Paola,Conconi,,Paola Conconi,Oxford University,https://sites.google.com/view/paola-conconi-website/,REPEC:per:2007-05-29:paola_conconi,url_match,unique
57,Maurizio,Zanardi,University of Sussex,Maurizio Zanardi,University of Sussex,https://sites.google.com/view/mauriziozanardi/,REPEC:per:1970-11-30:maurizio_zanardi,url_match,unique
60,Augustin,De Coulon,,Augustin  de Coulon,University of Manchester,https://sites.google.com/view/gusdc/home,REPEC:per:2015-01-02:augustin_de_coulon,url_match,unique
70,Sebastian,Kohl,,Sebastian Kohl,Uppsala Universitet,https://www.sebastiankohl.com/,REPEC:per:2021-05-24:sebastian_kohl,url_match,unique
73,Aakash,Kalyani,,Aakash Kalyani,Federal Reserve Bank of St. Louis,https://www.aakashkalyani.com,REPEC:per:2025-01-21:Aakash_Kalyani,url_match,unique
74,Pascual,Restrepo,Yale University,Pascual Restrepo,Yale University,https://campuspress.yale.edu/pascualrestrepo/,REPEC:per:2011-01-15:pascual_restrepo,url_match,unique
84,Leonardo,Bursztyn,,Leonardo Bursztyn,University of Chicago,http://home.uchicago.edu/~bursztyn/,REPEC:per:1982-06-23:leonardo_bursztyn,url_match,unique
87,Daron,Acemoglu,,Daron Acemoglu,Massachusetts Institute of Technology (MIT),https://economics.mit.edu/people/faculty/daron-acemoglu,REPEC:per:1967-07-30:daron_acemoglu,url_match,unique
109,Monique,De Haan,,Monique De Haan,Tinbergen Instituut,http://www.moniquedehaan.nl/,REPEC:per:2006-02-10:monique_de_haan,url_match,unique
117,Simone,Lenzu,,Simone Lenzu,New York University (NYU),https://pages.stern.nyu.edu/~slenzu/,REPEC:per:1986-04-07:simone_lenzu,url_match,unique
123,Diego,Comin,,Diego Comin,Centre for Economic Policy Research (CEPR),https://dcomin.host.dartmouth.edu/,REPEC:per:1973-12-27:diego_comin,url_match,unique
129,Lars,Svensson,Stockholm School of Economics,Lars E.O. Svensson,Stockholm School of Economics,https://larseosvensson.se/,REPEC:per:1979-04-29:lars_e_o__svensson,url_match,unique
138,Jens,Ruhose,Kiel University,Jens Ruhose,"Luxembourg Institute of Socio-Economic Research (LISER, CEPS/INSTEAD)",https://sites.google.com/site/jensruhose/,REPEC:per:2012-02-17:jens_ruhose,url_match,unique
143,Charlotte,Bartels,,Charlotte Bartels,DIW Berlin (Deutsches Institut für Wirtschaftsforschung),https://sites.google.com/site/charlottedsbartels/,REPEC:per:2012-05-20:charlotte_bartels,url_match,unique
146,Lukas,Menkhoff,Humboldt-Universität zu Berlin / DIW Berlin,Lukas Menkhoff,Kiel Institut für Weltwirtschaft - Leibniz Zentrum zur Erforschung globaler ökonomischer Herausforderungen (IfW),https://sites.google.com/view/lukas-menkhoff/,REPEC:per:1958-08-25:lukas_menkhoff,url_match,unique
151,Julia,Berazneva,,Julia Berazneva,Middlebury College,http://www.juliaberazneva.com,REPEC:per:2015-10-01:julia_berazneva,url_match,unique
165,Christian,Schluter,Aix Marseille School of Economics,Christian Schluter,Aix-Marseille Université,https://christianschluter.github.io,REPEC:per:2014-12-10:christian_schluter,url_match,unique
167,Pinjas,Albagli,London School of Economics,Pinjas Albagli,London School of Economics (LSE),https://palbagli.github.io/,REPEC:per:1989-11-19:Pinjas_Albagli,url_match,unique
200,Yann,Perdereau,Paris School of Economics,Yann Perdereau,Paris School of Economics,https://yannperdereau.github.io/,REPEC:per:2023-11-17:Yann_Perdereau,url_match,unique
232,Katrin,Huber,Berlin School of Economics,Katrin Stephanie Huber,Berlin School of Economics,https://www.katrin-huber-econ.de,REPEC:per:1988-02-28:Katrin_Stephanie_Huber,url_match,unique
242,Yifan,Zhang,University of Cambridge,Yifan Zhang,Chinese University of Hong Kong,https://www.yifanzhang.net,REPEC:per:2011-04-02:yifan_zhang,url_match,unique
256,Marco,Garofalo,University of Oxford,Marco Garofalo,Bank of England,https://sites.google.com/view/marco-garofalo/home,REPEC:per:1992-07-18:marco_garofalo,url_match,unique
281,Luis,Menéndez,Barcelona School of Economics,Luis  Menéndez,Barcelona School of Economics (BSE),https://luisignaciomenendez.github.io,REPEC:per:2025-03-07:Luis_Men__ndez,url_match,unique
306,Vincent,Rollet,Massachusetts Institute of Technology,Vincent Rollet,Massachusetts Institute of Technology (MIT),https://www.vincent-rollet.com,REPEC:per:1997-07-11:vincent_rollet,url_match,unique
329,Ben,Davies,Stanford University,Benjamin Davies,Stanford University,https://bldavies.com/,REPEC:per:2017-09-20:benjamin_davies,url_match,unique
443,Do Q,Lee,New York University,Do Q Lee,New York University (NYU),https://doqlee.github.io/,REPEC:per:2018-11-15:do_q_lee,url_match,unique
459,Ekaterina,Gurkova,"University of California, Los Angeles",Ekaterina Gurkova,University of California-Los Angeles (UCLA),https://ekaterinagurkova.com,REPEC:per:2022-10-31:ekaterina_gurkova,url_match,unique
473,Alexander,Fertig,University of Michigan,Alexander Jakob Fertig,,https://alexanderfertig.com/,REPEC:per:2020-01-02:alexander_jakob_fertig,url_match,unique
567,Weizheng,Lai,University of Maryland,Weizheng Lai,University of Maryland,http://laiwz.github.io,REPEC:per:1996-09-20:weizheng_lai,url_match,unique
596,Wouter,Leenders,"University of California, Berkeley",Wouter Leenders,University of California-Berkeley,http://wouterleenders.eu,REPEC:per:2022-05-05:wouter_leenders,url_match,unique
599,Joan,Martinez,"University of California, Berkeley",Joan J. Martínez,University of California-Berkeley,http://joanjmartinez.com,REPEC:per:2015-11-24:joan_jennifer_martinez,url_match,unique
605,Anders,Yding,"University of California, Berkeley",Anders Yding,University of California-Berkeley,https://andersyding.com,REPEC:per:1996-11-09:anders_yding,url_match,unique
607,Panle Jia,Barwick,University of Wisconsin-Madison,Panle Jia Barwick,National Bureau of Economic Research (NBER),https://panlebarwick.github.io/,REPEC:per:2011-04-11:panle_jia,url_match,unique
